category,satellite,resolution,archive_price,tasking_price,unit,note,source_page
รายละเอียดภาพ 30–50 ซม.,Pléiades NEO,30 cm,880.0,1270.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,WorldView-4,30 cm,920.0,1560.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,SuperView-2,42 cm,700.0,1100.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,WorldView-1,50 cm,700.0,1100.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,WorldView-2,50 cm,700.0,1100.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,WorldView-3,50 cm,700.0,1100.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,GeoEye-1,50 cm,700.0,1100.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,Pléiades,50 cm,490.0,830.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,EarthScanner,50 cm,400.0,800.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,SuperView-1,50 cm,500.0,900.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,KOMPSAT-3,50 cm,400.0,700.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 30–50 ซม.,SKYSAT,50 cm,300.0,560.0,บาท/ตร.กม.,ข้อมูลในคลัง,1
รายละเอียดภาพ 60 ซม.–2 ม.,Video Constellation,1 m,142500.0,285000.0,บาท/30 วินาที,ภาพวิดีโอและภาพกลางคืน,2
รายละเอียดภาพ 60 ซม.–2 ม.,Night Imaging,1 m,800.0,1400.0,บาท/ตร.กม.,ภาพกลางคืน,2
รายละเอียดภาพ 60 ซม.–2 ม.,QuickBird,60 cm,700.0,,บาท/ตร.กม.,ข้อมูลชนิดสั่งถ่ายไม่พร้อม,2
รายละเอียดภาพ 60 ซม.–2 ม.,GaoFen-7,65 cm,400.0,700.0,บาท/ตร.กม.,ข้อมูลในคลัง,2
รายละเอียดภาพ 60 ซม.–2 ม.,Jilin,75 cm,300.0,600.0,บาท/ตร.กม.,ข้อมูลในคลัง,2
